,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
43247,464952,7/30/2022,sábado,20:00:00,MG,381.0,288.0,JAGUARACU,Pista em desnível,Queda de ocupante de veículo,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,1,0,0,0,0,0,1,-19.618689,-42.78756,SPRF-MG,DEL03-MG,UOP02-DEL03-MG,30/07/2022 20:00:00,0.0,24.1,25.4,58.0,17.0,2.6,0.0
19410,410466,1/22/2022,sábado,18:20:00,SE,101.0,93.0,NOSSA SENHORA DO SOCORRO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Retorno Regulamentado,Sim,4,0,0,2,2,0,2,2,-10.90470783,-37.14898294,SPRF-SE,DEL01-SE,UOP01-DEL01-SE,22/01/2022 18:00:00,0.0,26.9,29.8,78.0,35.0,16.6,0.0
7733,457971,6/25/2022,sábado,18:40:00,PE,232.0,27.0,MORENO,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,1,0,0,0,1,0,0,1,-8.11418416,-35.12568999,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,25/06/2022 19:00:00,0.0,23.3,25.9,85.0,29.0,10.8,0.0
50218,475572,9/20/2022,terça-feira,0:15:00,RJ,40.0,121.0,DUQUE DE CAXIAS,Velocidade Incompatível,Capotamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,0,0,1,0,0,1,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ,20/09/2022 00:00:00,0.0,17.6,17.6,87.0,1.0,12.3,0.0
10378,468992,8/19/2022,sexta-feira,9:20:00,GO,414.0,214.0,NIQUELANDIA,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,3,1,0,1,1,0,1,2,-14.534845,-48.537178,SPRF-GO,DEL07-GO,UOP02-DEL07-GO,19/08/2022 09:00:00,0.0,25.1,23.9,42.0,5.0,10.9,1.0
2578,418730,3/5/2022,sábado,9:25:00,PE,101.0,68.0,RECIFE,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Viaduto,Sim,3,0,1,1,1,0,2,2,-8.05074296,-34.94580619,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,05/03/2022 09:00:00,0.2,26.2,30.1,84.0,98.0,12.2,1.0
47617,471635,8/26/2022,sexta-feira,16:20:00,RS,386.0,362.2,ESTRELA,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,Não,2,0,1,0,1,0,1,2,-29.557457,-51.891541,SPRF-RS,DEL04-RS,UOP02-DEL04-RS,26/08/2022 16:00:00,0.0,24.3,25.7,61.0,31.0,5.7,1.0
3934,424215,4/2/2022,sábado,20:40:00,GO,80.0,374.0,SAO MIGUEL DO ARAGUAIA,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,1,0,0,2,2,-13.28706272,-50.19241333,SPRF-GO,DEL07-GO,UOP02-DEL07-GO,02/04/2022 21:00:00,0.0,26.2,31.0,81.0,14.0,3.7,0.0
61364,492440,12/12/2022,segunda-feira,14:20:00,MG,153.0,239.0,FRONTEIRA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,2,0,1,0,1,0,1,2,-20.29847332,-49.20614844,SPRF-MG,DEL13-MG,UOP02-DEL13-MG,12/12/2022 14:00:00,1.1,26.0,29.2,83.0,100.0,16.2,1.0
17080,405269,1/1/2022,sábado,16:20:00,GO,40.0,9.9,LUZIANIA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-16.12888094,-47.95912027,SPRF-DF,DEL01-DF,UOP01-DEL01-DF,01/01/2022 16:00:00,1.0,20.2,22.9,92.0,100.0,3.9,1.0
10058,467524,8/12/2022,sexta-feira,12:00:00,SP,116.0,45.1,CANAS,Demais falhas mecânicas ou elétricas,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,Não,1,0,0,0,1,0,0,1,-22.70842755,-45.0459516,SPRF-SP,DEL08-SP,UOP02-DEL08-SP,12/08/2022 12:00:00,0.1,18.3,17.3,62.0,94.0,8.3,1.0
